home_country,source_currency,dest_currency,channel,kyc_tier,ip_country,amount_src,amount_usd,fee,exchange_rate_src_to_dest,ip_risk_score,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,hour_of_day,day_of_week,is_weekend,month,night_hour,account_very_new,account_new,velocity_burst,amount_high,ip_high_risk,device_low_trust,corridor_high_risk,cross_border,high_chargeback_history,new_device,location_mismatch,fraud_probability
US,USD,CNY,MOBILE,STANDARD,US,329.48100000000005,329.48100000000005,4.59,7.142857,0.07475,147,0.551,0,0.391,0,0,0.0,21,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.11695738676941236
US,USD,EUR,MOBILE,STANDARD,US,100.899,100.899,2.83,0.925926,1.0,298,0.336,0,0.166,0,0,0.0,21,0,0,12,0,0,0,0,0,1,1,0,1,0,0,0,0.18865057791487747
UK,GBP,USD,MOBILE,STANDARD,UK,620.784,775.98,8.25,1.25,1.0,18,0.131,2,0.703,4,7,0.0,13,0,0,2,0,1,0,1,0,1,1,0,1,1,1,0,1.0
US,USD,CNY,MOBILE,STANDARD,US,96.12,96.12,1.57,7.142857,0.24609999999999999,263,0.522,0,0.223,0,0,0.0,10,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0.10601785846563123
US,USD,INR,MOBILE,STANDARD,US,1985.7690000000002,1985.7690000000002,23.14,83.333333,0.3933,147,0.551,0,0.391,0,0,0.0,1,3,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0.08211162763139408
UK,GBP,NGN,MOBILE,STANDARD,UK,246.132,307.67850000000004,2.87,1388.888889,0.46115,4,0.892,0,0.407,0,0,0.22,5,5,1,12,1,1,0,0,0,0,0,0,1,0,0,0,0.6125142978730899
US,USD,CAD,MOBILE,STANDARD,US,150.4575,150.4575,3.17,1.351351,0.28519999999999995,263,0.522,0,0.223,0,0,0.0,6,6,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0.04339443303834718
US,USD,PHP,WEB,STANDARD,US,88.95150000000001,88.95150000000001,1.82,58.823529,0.14604999999999999,298,0.336,0,0.166,0,0,0.1,9,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0.2987461852130349
US,USD,NGN,WEB,STANDARD,US,75.82950000000001,75.82950000000001,2.46,1111.111111,0.22424999999999998,263,0.522,0,0.223,0,0,0.25,11,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0.1589134859709691
US,USD,INR,MOBILE,ENHANCED,US,59.359500000000004,59.359500000000004,1.73,83.333333,0.3059,367,0.939,0,0.176,0,0,0.0,16,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0.013171158511966301
US,USD,MXN,WEB,ENHANCED,US,307.5165,307.5165,4.81,17.241379,0.42779999999999996,367,0.789,0,0.176,0,0,0.2,7,4,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0.07396304861083768
US,USD,CAD,MOBILE,STANDARD,US,1005.7230000000001,1005.7230000000001,12.35,1.351351,0.30935,263,0.372,0,0.223,5,5,0.0,19,4,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0.5544468550167395
US,USD,EUR,WEB,STANDARD,US,383.87250000000006,383.87250000000006,5.33,0.925926,0.19205,298,0.336,0,0.166,0,0,0.0,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.32903882065707996
US,USD,GBP,MOBILE,LOW,US,342.13050000000004,342.13050000000004,4.96,0.8,1.0,954,0.576,0,0.332,0,0,0.0,20,6,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.38549111371732564
US,USD,USD,MOBILE,ENHANCED,US,193.72500000000002,193.72500000000002,2.88,1.0,0.31395,367,0.939,0,0.176,0,0,0.0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01624226047681516
US,USD,GBP,MOBILE,STANDARD,US,121.257,121.257,2.37,0.8,0.14834999999999998,1018,0.934,0,0.087,0,0,0.0,10,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0.09271940757652282
UK,GBP,CAD,ATM,STANDARD,US,3609.09,4511.3625,39.87,1.689189,1.0,56,0.46,2,0.502,5,8,0.0,11,2,0,3,0,0,1,1,1,1,1,0,1,1,1,1,1.0
CA,CAD,EUR,WEB,LOW,CA,152.5095,112.86,2.8,0.685185,0.2783,615,0.515,0,0.355,0,0,0.0,18,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.4374875652718889
UK,GBP,INR,MOBILE,STANDARD,UK,1584.5625,1980.6930000000002,19.11,104.166667,0.9913,4,0.892,0,0.407,0,0,0.0,1,0,0,11,1,1,0,0,0,1,0,0,1,0,0,0,0.5185016774827486
US,USD,NGN,ATM,STANDARD,US,216.83700000000002,216.83700000000002,3.82,1111.111111,0.5703999999999999,263,0.522,0,0.223,0,0,0.25,5,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.10096442308138916
US,USD,CAD,WEB,STANDARD,US,208.14300000000003,208.14300000000003,3.68,1.351351,0.49219999999999997,263,0.522,0,0.223,0,0,0.0,20,5,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0.059058034162670435
CA,CAD,INR,MOBILE,STANDARD,CA,62.51850000000001,46.264500000000005,1.53,61.666667,0.24724999999999997,947,0.625,0,0.268,0,0,0.12,7,4,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0.12289200362871025
US,USD,NGN,ATM,STANDARD,US,225.99,225.99,4.37,1111.111111,0.72105,1016,0.944,0,0.247,1,1,0.25,20,2,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0.11451767850949664
US,USD,CAD,MOBILE,ENHANCED,US,271.539,271.539,3.61,1.351351,0.27025,367,0.939,0,0.176,0,0,0.0,3,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.020157382266066268
UK,GBP,NGN,MOBILE,STANDARD,UK,93.5955,117.00450000000001,1.63,1388.888889,0.3151,718,0.953,0,0.169,0,0,0.22,12,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0.042847332960424554
US,USD,NGN,WEB,LOW,UK,504.9135,504.9135,6.57,1111.111111,1.0,9,0.185,1,0.446,6,7,0.25,21,3,0,11,0,1,0,1,0,1,1,0,1,1,1,1,1.0
UK,GBP,GBP,MOBILE,STANDARD,UK,308.13750000000005,385.16850000000005,4.31,1.0,0.34384999999999993,90,0.955,0,0.107,0,2,0.0,10,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.09339715562951634
US,USD,PHP,WEB,LOW,US,484.52850000000007,484.52850000000007,6.9,58.823529,1.0,5,0.35,0,0.352,3,6,0.1,1,4,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1.0
